,Epoch,nData,att_time,pur_time,clf_time,std_acc,att_acc,pur_acc_l,pur_acc_s,pur_acc_o,pur_acc_list_l,pur_acc_list_s,pur_acc_list_o,count_att,count_diff
0,1,100,7.801742,145.739598,0.583846,97.0,0.0,93.0,92.0,91.0,91.0,91.0,91.0,4,3
1,1,100,7.801742,145.739598,0.583846,97.0,0.0,93.0,92.0,91.0,93.0,93.0,91.0,4,3
2,1,100,7.801742,145.739598,0.583846,97.0,0.0,93.0,92.0,91.0,93.0,92.0,92.0,4,3
3,1,100,7.801742,145.739598,0.583846,97.0,0.0,93.0,92.0,91.0,93.0,92.0,92.0,4,3
4,1,100,7.801742,145.739598,0.583846,97.0,0.0,93.0,92.0,91.0,94.0,93.0,91.0,4,3
5,1,100,7.801742,145.739598,0.583846,97.0,0.0,93.0,92.0,91.0,95.0,93.0,91.0,4,3
6,1,100,7.801742,145.739598,0.583846,97.0,0.0,93.0,92.0,91.0,92.0,92.0,91.0,4,3
7,1,100,7.801742,145.739598,0.583846,97.0,0.0,93.0,92.0,91.0,93.0,92.0,92.0,4,3
8,1,100,7.801742,145.739598,0.583846,97.0,0.0,93.0,92.0,91.0,92.0,91.0,91.0,4,3
9,1,100,7.801742,145.739598,0.583846,97.0,0.0,93.0,92.0,91.0,93.0,92.0,91.0,4,3
10,2,100,1.609305,132.56144,0.588282,93.0,0.0,86.0,86.0,86.0,90.0,90.0,90.0,8,6
11,2,100,1.609305,132.56144,0.588282,93.0,0.0,86.0,86.0,86.0,86.0,86.0,84.0,8,6
12,2,100,1.609305,132.56144,0.588282,93.0,0.0,86.0,86.0,86.0,87.0,88.0,88.0,8,6
13,2,100,1.609305,132.56144,0.588282,93.0,0.0,86.0,86.0,86.0,85.0,86.0,86.0,8,6
14,2,100,1.609305,132.56144,0.588282,93.0,0.0,86.0,86.0,86.0,88.0,88.0,88.0,8,6
15,2,100,1.609305,132.56144,0.588282,93.0,0.0,86.0,86.0,86.0,87.0,86.0,87.0,8,6
16,2,100,1.609305,132.56144,0.588282,93.0,0.0,86.0,86.0,86.0,86.0,86.0,87.0,8,6
17,2,100,1.609305,132.56144,0.588282,93.0,0.0,86.0,86.0,86.0,86.0,85.0,86.0,8,6
18,2,100,1.609305,132.56144,0.588282,93.0,0.0,86.0,86.0,86.0,87.0,86.0,86.0,8,6
19,2,100,1.609305,132.56144,0.588282,93.0,0.0,86.0,86.0,86.0,86.0,86.0,86.0,8,6
20,3,100,1.6229770000000001,144.816249,0.587465,98.0,0.0,89.0,89.0,90.0,89.0,89.0,89.0,7,4
21,3,100,1.6229770000000001,144.816249,0.587465,98.0,0.0,89.0,89.0,90.0,92.0,91.0,86.0,7,4
22,3,100,1.6229770000000001,144.816249,0.587465,98.0,0.0,89.0,89.0,90.0,90.0,91.0,90.0,7,4
23,3,100,1.6229770000000001,144.816249,0.587465,98.0,0.0,89.0,89.0,90.0,92.0,91.0,89.0,7,4
24,3,100,1.6229770000000001,144.816249,0.587465,98.0,0.0,89.0,89.0,90.0,90.0,90.0,90.0,7,4
25,3,100,1.6229770000000001,144.816249,0.587465,98.0,0.0,89.0,89.0,90.0,91.0,90.0,89.0,7,4
26,3,100,1.6229770000000001,144.816249,0.587465,98.0,0.0,89.0,89.0,90.0,90.0,90.0,89.0,7,4
27,3,100,1.6229770000000001,144.816249,0.587465,98.0,0.0,89.0,89.0,90.0,91.0,90.0,90.0,7,4
28,3,100,1.6229770000000001,144.816249,0.587465,98.0,0.0,89.0,89.0,90.0,89.0,89.0,89.0,7,4
29,3,100,1.6229770000000001,144.816249,0.587465,98.0,0.0,89.0,89.0,90.0,89.0,89.0,90.0,7,4
30,4,100,1.616881,134.338033,0.254477,96.0,0.0,85.0,84.0,84.0,86.0,86.0,86.0,7,8
31,4,100,1.616881,134.338033,0.254477,96.0,0.0,85.0,84.0,84.0,86.0,88.0,88.0,7,8
32,4,100,1.616881,134.338033,0.254477,96.0,0.0,85.0,84.0,84.0,89.0,89.0,89.0,7,8
33,4,100,1.616881,134.338033,0.254477,96.0,0.0,85.0,84.0,84.0,84.0,86.0,87.0,7,8
34,4,100,1.616881,134.338033,0.254477,96.0,0.0,85.0,84.0,84.0,85.0,84.0,83.0,7,8
35,4,100,1.616881,134.338033,0.254477,96.0,0.0,85.0,84.0,84.0,85.0,85.0,84.0,7,8
36,4,100,1.616881,134.338033,0.254477,96.0,0.0,85.0,84.0,84.0,85.0,84.0,83.0,7,8
37,4,100,1.616881,134.338033,0.254477,96.0,0.0,85.0,84.0,84.0,85.0,84.0,87.0,7,8
38,4,100,1.616881,134.338033,0.254477,96.0,0.0,85.0,84.0,84.0,85.0,84.0,85.0,7,8
39,4,100,1.616881,134.338033,0.254477,96.0,0.0,85.0,84.0,84.0,85.0,84.0,84.0,7,8
40,5,100,1.281947,144.615047,0.581163,96.0,0.0,94.0,94.0,94.0,91.0,91.0,91.0,5,1
41,5,100,1.281947,144.615047,0.581163,96.0,0.0,94.0,94.0,94.0,93.0,91.0,90.0,5,1
42,5,100,1.281947,144.615047,0.581163,96.0,0.0,94.0,94.0,94.0,96.0,96.0,94.0,5,1
43,5,100,1.281947,144.615047,0.581163,96.0,0.0,94.0,94.0,94.0,94.0,94.0,92.0,5,1
44,5,100,1.281947,144.615047,0.581163,96.0,0.0,94.0,94.0,94.0,93.0,93.0,93.0,5,1
45,5,100,1.281947,144.615047,0.581163,96.0,0.0,94.0,94.0,94.0,91.0,91.0,92.0,5,1
46,5,100,1.281947,144.615047,0.581163,96.0,0.0,94.0,94.0,94.0,92.0,92.0,92.0,5,1
47,5,100,1.281947,144.615047,0.581163,96.0,0.0,94.0,94.0,94.0,93.0,93.0,94.0,5,1
48,5,100,1.281947,144.615047,0.581163,96.0,0.0,94.0,94.0,94.0,93.0,93.0,94.0,5,1
49,5,100,1.281947,144.615047,0.581163,96.0,0.0,94.0,94.0,94.0,94.0,94.0,94.0,5,1
50,6,100,1.6096819999999998,108.6504,0.584986,97.0,0.0,92.0,93.0,93.0,90.0,90.0,90.0,3,5
51,6,100,1.6096819999999998,108.6504,0.584986,97.0,0.0,92.0,93.0,93.0,91.0,90.0,91.0,3,5
52,6,100,1.6096819999999998,108.6504,0.584986,97.0,0.0,92.0,93.0,93.0,91.0,91.0,92.0,3,5
53,6,100,1.6096819999999998,108.6504,0.584986,97.0,0.0,92.0,93.0,93.0,91.0,91.0,92.0,3,5
54,6,100,1.6096819999999998,108.6504,0.584986,97.0,0.0,92.0,93.0,93.0,91.0,91.0,92.0,3,5
55,6,100,1.6096819999999998,108.6504,0.584986,97.0,0.0,92.0,93.0,93.0,92.0,92.0,93.0,3,5
56,6,100,1.6096819999999998,108.6504,0.584986,97.0,0.0,92.0,93.0,93.0,91.0,91.0,92.0,3,5
57,6,100,1.6096819999999998,108.6504,0.584986,97.0,0.0,92.0,93.0,93.0,91.0,92.0,93.0,3,5
58,6,100,1.6096819999999998,108.6504,0.584986,97.0,0.0,92.0,93.0,93.0,92.0,92.0,92.0,3,5
59,6,100,1.6096819999999998,108.6504,0.584986,97.0,0.0,92.0,93.0,93.0,92.0,93.0,93.0,3,5
60,7,100,0.659659,132.32938,0.579571,97.0,0.0,90.0,90.0,89.0,87.0,87.0,87.0,10,0
61,7,100,0.659659,132.32938,0.579571,97.0,0.0,90.0,90.0,89.0,91.0,91.0,91.0,10,0
62,7,100,0.659659,132.32938,0.579571,97.0,0.0,90.0,90.0,89.0,90.0,89.0,89.0,10,0
63,7,100,0.659659,132.32938,0.579571,97.0,0.0,90.0,90.0,89.0,89.0,90.0,91.0,10,0
64,7,100,0.659659,132.32938,0.579571,97.0,0.0,90.0,90.0,89.0,89.0,90.0,91.0,10,0
65,7,100,0.659659,132.32938,0.579571,97.0,0.0,90.0,90.0,89.0,88.0,89.0,90.0,10,0
66,7,100,0.659659,132.32938,0.579571,97.0,0.0,90.0,90.0,89.0,90.0,90.0,90.0,10,0
67,7,100,0.659659,132.32938,0.579571,97.0,0.0,90.0,90.0,89.0,90.0,91.0,90.0,10,0
68,7,100,0.659659,132.32938,0.579571,97.0,0.0,90.0,90.0,89.0,90.0,90.0,89.0,10,0
69,7,100,0.659659,132.32938,0.579571,97.0,0.0,90.0,90.0,89.0,90.0,90.0,89.0,10,0
70,8,100,1.6215169999999999,143.528321,0.585449,92.0,0.0,89.0,87.0,88.0,84.0,84.0,84.0,8,3
71,8,100,1.6215169999999999,143.528321,0.585449,92.0,0.0,89.0,87.0,88.0,87.0,86.0,87.0,8,3
72,8,100,1.6215169999999999,143.528321,0.585449,92.0,0.0,89.0,87.0,88.0,86.0,89.0,90.0,8,3
73,8,100,1.6215169999999999,143.528321,0.585449,92.0,0.0,89.0,87.0,88.0,87.0,88.0,87.0,8,3
74,8,100,1.6215169999999999,143.528321,0.585449,92.0,0.0,89.0,87.0,88.0,86.0,86.0,87.0,8,3
75,8,100,1.6215169999999999,143.528321,0.585449,92.0,0.0,89.0,87.0,88.0,85.0,86.0,88.0,8,3
76,8,100,1.6215169999999999,143.528321,0.585449,92.0,0.0,89.0,87.0,88.0,88.0,89.0,89.0,8,3
77,8,100,1.6215169999999999,143.528321,0.585449,92.0,0.0,89.0,87.0,88.0,87.0,88.0,88.0,8,3
78,8,100,1.6215169999999999,143.528321,0.585449,92.0,0.0,89.0,87.0,88.0,87.0,87.0,87.0,8,3
79,8,100,1.6215169999999999,143.528321,0.585449,92.0,0.0,89.0,87.0,88.0,89.0,87.0,88.0,8,3
80,9,100,1.612186,132.587352,0.253117,95.0,0.0,89.0,90.0,90.0,87.0,87.0,87.0,9,2
81,9,100,1.612186,132.587352,0.253117,95.0,0.0,89.0,90.0,90.0,87.0,87.0,87.0,9,2
82,9,100,1.612186,132.587352,0.253117,95.0,0.0,89.0,90.0,90.0,89.0,87.0,87.0,9,2
83,9,100,1.612186,132.587352,0.253117,95.0,0.0,89.0,90.0,90.0,89.0,89.0,88.0,9,2
84,9,100,1.612186,132.587352,0.253117,95.0,0.0,89.0,90.0,90.0,88.0,87.0,87.0,9,2
85,9,100,1.612186,132.587352,0.253117,95.0,0.0,89.0,90.0,90.0,87.0,86.0,87.0,9,2
86,9,100,1.612186,132.587352,0.253117,95.0,0.0,89.0,90.0,90.0,89.0,89.0,88.0,9,2
87,9,100,1.612186,132.587352,0.253117,95.0,0.0,89.0,90.0,90.0,88.0,88.0,89.0,9,2
88,9,100,1.612186,132.587352,0.253117,95.0,0.0,89.0,90.0,90.0,89.0,89.0,89.0,9,2
