,Epoch,nData,att_time,pur_time,clf_time,std_acc,att_acc,pur_acc_l,pur_acc_s,pur_acc_o,pur_acc_list_l,pur_acc_list_s,pur_acc_list_o,count_att,count_diff,nat_pur_acc_l,nat_pur_acc_s,nat_pur_acc_o,nat_pur_acc_list_l,nat_pur_acc_list_s,nat_pur_acc_list_o
0,1,1000,2.897823,528.514358,0.278244,194.0,194.0,745.0,747.0,742.0,719.0,719.0,719.0,229,30,741.0,742.0,743.0,736.0,736.0,736.0
1,1,1000,2.897823,528.514358,0.278244,194.0,194.0,745.0,747.0,742.0,724.0,726.0,712.0,229,30,741.0,742.0,743.0,743.0,739.0,724.0
2,1,1000,2.897823,528.514358,0.278244,194.0,194.0,745.0,747.0,742.0,733.0,728.0,725.0,229,30,741.0,742.0,743.0,749.0,736.0,735.0
3,1,1000,2.897823,528.514358,0.278244,194.0,194.0,745.0,747.0,742.0,733.0,730.0,728.0,229,30,741.0,742.0,743.0,746.0,744.0,736.0
4,1,1000,2.897823,528.514358,0.278244,194.0,194.0,745.0,747.0,742.0,739.0,734.0,730.0,229,30,741.0,742.0,743.0,754.0,750.0,751.0
5,1,1000,2.897823,528.514358,0.278244,194.0,194.0,745.0,747.0,742.0,735.0,732.0,727.0,229,30,741.0,742.0,743.0,747.0,747.0,740.0
6,1,1000,2.897823,528.514358,0.278244,194.0,194.0,745.0,747.0,742.0,734.0,734.0,731.0,229,30,741.0,742.0,743.0,748.0,750.0,744.0
7,1,1000,2.897823,528.514358,0.278244,194.0,194.0,745.0,747.0,742.0,741.0,736.0,733.0,229,30,741.0,742.0,743.0,748.0,746.0,748.0
8,1,1000,2.897823,528.514358,0.278244,194.0,194.0,745.0,747.0,742.0,743.0,743.0,736.0,229,30,741.0,742.0,743.0,747.0,748.0,746.0
9,1,1000,2.897823,528.514358,0.278244,194.0,194.0,745.0,747.0,742.0,745.0,747.0,742.0,229,30,741.0,742.0,743.0,741.0,742.0,743.0
10,2,1000,0.097004,525.439554,0.277018,184.0,184.0,717.0,719.0,719.0,708.0,708.0,708.0,249,45,706.0,703.0,710.0,701.0,701.0,701.0
11,2,1000,0.097004,525.439554,0.277018,184.0,184.0,717.0,719.0,719.0,712.0,712.0,700.0,249,45,706.0,703.0,710.0,715.0,715.0,698.0
12,2,1000,0.097004,525.439554,0.277018,184.0,184.0,717.0,719.0,719.0,710.0,718.0,716.0,249,45,706.0,703.0,710.0,711.0,708.0,704.0
13,2,1000,0.097004,525.439554,0.277018,184.0,184.0,717.0,719.0,719.0,711.0,714.0,708.0,249,45,706.0,703.0,710.0,704.0,702.0,699.0
14,2,1000,0.097004,525.439554,0.277018,184.0,184.0,717.0,719.0,719.0,706.0,712.0,709.0,249,45,706.0,703.0,710.0,708.0,712.0,707.0
